sample	cRegMap	Verhaak	lucgar
GSM1185877	MES	Mesenchymal	PPR
GSM1185879	MES	Neural	PPR
GSM1185884	MES	Neural	MTC
GSM1185886	MES	Mesenchymal	GPM
GSM1185891	PN	Proneural	PPR
GSM1185893	CL-A	Classical	MTC
GSM1185900	MES	Mesenchymal	GPM
GSM1185904	PN	Proneural	NEU
GSM1185906	NL	Proneural	NEU
GSM1185907	MES	Mesenchymal	MTC
GSM1185908	MES	Proneural	PPR
GSM1185912	PN	Proneural	NEU
GSM1185916	MES	Neural	MTC
GSM1185928	MES	Mesenchymal	GPM
GSM1185932	MES	Mesenchymal	GPM
GSM1185939	MES	Proneural	MTC
GSM1185944	NL	Neural	NEU
GSM1185947	MES	Classical	MTC
GSM1185949	CL-A	Mesenchymal	GPM
GSM1185950	PN	Proneural	NEU
GSM1185951	CL-C	Proneural	PPR
GSM1185956	PN-L	Proneural	MTC
GSM1185958	NL	Neural	MTC
GSM1185960	PN	Proneural	PPR
GSM1185963	MES	Classical	GPM
GSM1185968	CL-B	Proneural	NEU
GSM1185971	NL	Neural	NEU
GSM1185972	MES	Neural	NEU
GSM1185976	MES	Classical	GPM
GSM1185977	NL	Proneural	MTC
GSM1185979	NL	Neural	MTC
GSM1185982	CL-A	Classical	MTC
GSM1185984	MES	Classical	GPM
GSM1185986	CL-A	Classical	PPR
GSM1185987	CL-A	Classical	MTC
GSM1185989	MES	Mesenchymal	GPM
GSM1185992	MES	Mesenchymal	GPM
GSM1185993	CL-A	Classical	PPR
GSM1185998	PN	Proneural	MTC
GSM1185999	PN	Proneural	PPR
GSM1186006	MES	Classical	MTC
GSM1186007	CL-A	Classical	MTC
GSM1186008	CL-A	Classical	PPR
GSM1186009	MES	Mesenchymal	GPM
GSM1186011	MES	Mesenchymal	GPM
GSM1186014	CL-A	Classical	NEU
GSM1186015	CL-A	Classical	MTC
GSM1186019	MES	Mesenchymal	GPM
GSM1186020	PN	Classical	PPR
GSM1186021	MES	Mesenchymal	GPM
GSM1186022	MES	Classical	GPM
GSM1186026	PN	Proneural	PPR
GSM1186028	CL-A	Proneural	GPM
GSM1186029	CL-C	Classical	PPR
GSM1186030	MES	Mesenchymal	MTC
GSM1186031	CL-C	Neural	MTC
GSM1186035	CL-C	Classical	MTC
GSM1186036	CL-C	Classical	MTC
GSM1186038	PN-L	Proneural	MTC
GSM1186041	MES	Mesenchymal	GPM
GSM1186042	MES	Proneural	GPM
GSM1186047	PN	Proneural	PPR
GSM1186048	MES	Mesenchymal	GPM
GSM1186049	PN	Proneural	PPR
GSM1186050	MES	Mesenchymal	GPM
GSM1186053	CL-B	Proneural	NEU
GSM1186055	MES	Neural	GPM
GSM1186056	CL-A	Classical	MTC
GSM1186058	MES	Mesenchymal	MTC
GSM1186059	CL-A	Classical	PPR
GSM1186060	MES	Mesenchymal	GPM
GSM1186064	MES	Neural	MTC
GSM1186065	PN	Proneural	PPR
GSM1186069	CL-A	Proneural	MTC
GSM1186071	NL	Neural	NEU
GSM1186073	MES	Classical	GPM
GSM1186074	CL-A	Proneural	PPR
GSM1186076	PN-L	Proneural	NEU
GSM1186079	MES	Mesenchymal	GPM
GSM1186081	MES	Mesenchymal	GPM
GSM1186082	CL-A	Classical	PPR
GSM1186084	PN	Proneural	PPR
GSM1186085	PN	Proneural	PPR
GSM1186086	PN	Proneural	MTC
GSM1186088	PN	Proneural	MTC
GSM1186091	PN-L	Proneural	NEU
GSM1186093	NL	Proneural	NEU
GSM1186101	MES	Neural	GPM
GSM1186105	MES	Mesenchymal	GPM
GSM1186108	CL-A	Classical	MTC
GSM1186109	CL-A	Classical	GPM
GSM1186111	PN	Proneural	PPR
GSM1186112	MES	Mesenchymal	GPM
GSM1186113	MES	Mesenchymal	GPM
GSM1186114	PN	Proneural	MTC
GSM1186123	MES	Mesenchymal	GPM
GSM1186126	MES	Neural	MTC
GSM1186128	PN	Proneural	NEU
GSM1186131	MES	Classical	MTC
GSM1186135	PN-L	Proneural	NEU
GSM824275	MES	Mesenchymal	GPM
GSM824276	PN	Proneural	MTC
GSM824277	MES	Mesenchymal	GPM
GSM824278	PN-L	Classical	MTC
GSM824279	MES	Mesenchymal	GPM
GSM824280	PN	Classical	PPR
GSM824281	CL-B	Classical	PPR
GSM824282	CL-C	Proneural	MTC
GSM824283	PN	Proneural	MTC
GSM824284	PN	Proneural	PPR
GSM824285	PN	Proneural	MTC
GSM824286	PN	Proneural	NEU
GSM824287	PN	Classical	PPR
GSM824288	CL-C	Classical	GPM
GSM824289	MES	Mesenchymal	GPM
GSM824290	PN-L	Neural	MTC
GSM824291	NL	Classical	NEU
GSM824292	PN	Proneural	NEU
GSM824293	CL-C	Classical	MTC
GSM824294	CL-C	Neural	MTC
GSM824295	CL-A	Classical	GPM
FB006	CL-A	Classical	PPR
FB013	CL-C	Neural	MTC
FB017	CL-A	Classical	PPR
FB108	MES	Mesenchymal	GPM
FB206	MES	Mesenchymal	GPM
FB402	MES	Mesenchymal	GPM
FB403	MES	Mesenchymal	GPM
FB404	CL-B	Mesenchymal	MTC
FB405	MES	Classical	GPM
FB406	PN	Proneural	PPR
FB407	NL	Neural	NEU
FB408	CL-C	Mesenchymal	GPM
FB409	CL-A	Classical	MTC
FB410	CL-C	Classical	MTC
FB412	PN-L	Proneural	MTC
FB414	MES	Classical	GPM
FB416	NL	Neural	NEU
FB417	CL-A	Classical	PPR
FB418	PN	Classical	PPR
FB419	PN	Proneural	MTC
FB420	PN	Proneural	PPR
FB425	CL-A	Classical	GPM
FB426	MES	Mesenchymal	GPM
FB427	PN	Classical	PPR
FB433	CL-B	Classical	MTC
FB434	CL-C	Classical	MTC
FB435	CL-B	Classical	MTC
FB436	CL-B	Classical	MTC
FB438	PN	Proneural	MTC
FB439	CL-B	Classical	MTC
FB502	MES	Mesenchymal	GPM
FB503	PN	Proneural	PPR
FB506	CL-A	Classical	PPR
FB508	PN	Classical	NEU
FB516	PN	Classical	GPM
FB553	CL-B	Neural	PPR
FB554	CL-A	Classical	PPR
FB555	CL-C	Mesenchymal	PPR
FB556	PN-L	Proneural	MTC
FB557	PN	Classical	GPM
FB558	CL-A	Classical	MTC
FB559	CL-C	Classical	PPR
FB561	CL-C	Neural	MTC
FB564	PN	Proneural	PPR
FB566	NL	Neural	MTC
FB567	NL	Neural	NEU
FB568	MES	Mesenchymal	PPR
FB569	NL	Neural	NEU
GSM1440412	PN	Proneural	PPR
GSM1440413	NL	Neural	MTC
GSM1440414	NL	Mesenchymal	GPM
GSM1440415	CL-A	Classical	PPR
GSM1440416	CL-A	Classical	PPR
GSM1440417	NL	Proneural	NEU
GSM1440418	NL	Neural	NEU
GSM1440419	CL-B	Proneural	MTC
GSM1440420	NL	Neural	NEU
GSM1440421	CL-B	Neural	NEU
GSM1440422	PN	Proneural	PPR
GSM1440423	PN	Proneural	NEU
GSM1440424	NL	Neural	NEU
GSM1440425	NL	Proneural	NEU
GSM1440426	NL	Neural	NEU
GSM1440427	NL	Neural	NEU
GSM1440428	NL	Neural	NEU
GSM1440429	NL	Neural	MTC
GSM1440430	NL	Neural	MTC
GSM1440431	CL-A	Classical	GPM
GSM1440432	MES	Mesenchymal	GPM
GSM1440433	NL	Neural	NEU
GSM1440434	NL	Neural	NEU
GSM1440435	NL	Neural	NEU
GSM1440436	PN	Proneural	NEU
GSM1440437	NL	Neural	NEU
GSM1440438	NL	Classical	MTC
GSM1440439	PN-L	Proneural	NEU
GSM1440440	NL	Neural	NEU
GSM1440441	CL-C	Neural	MTC
GSM1440442	NL	Neural	NEU
GSM1440443	CL-A	Proneural	MTC
GSM1440444	NL	Proneural	NEU
GSM1440445	PN	Proneural	MTC
GSM1440446	NL	Neural	MTC
GSM1440447	NL	Neural	NEU
GSM1440448	PN	Proneural	PPR
GSM1440449	PN	Proneural	PPR
GSM1440450	PN	Proneural	PPR
GSM1440451	MES	Mesenchymal	MTC
GSM1440452	CL-C	Mesenchymal	MTC
GSM1440453	CL-C	Mesenchymal	MTC
GSM1440454	CL-C	Mesenchymal	MTC
GSM1440455	CL-C	Mesenchymal	GPM
GSM1440456	CL-C	Mesenchymal	MTC
GSM1440457	CL-A	Classical	PPR
GSM1440458	CL-A	Classical	PPR
GSM1440459	MES	Mesenchymal	GPM
GSM1440460	CL-C	Mesenchymal	MTC
